"contrast","Group","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","effect"
"(Emotion Self-Report) - (No Emotion Self-Report)","o3-mini",0.0340981516038216,0.00655983179092247,Inf,0.0212411175489727,0.0469551856586705,5.19802224974835,2.01420024450728e-07,"Emotion × Cost"
"(Emotion Self-Report) - (No Emotion Self-Report)","DeepSeek-R1",0.205955448040035,0.00666567393012676,Inf,0.192890967204299,0.219019928875771,30.8979182298703,1.2739012747428e-209,"Emotion × Cost"
"(Emotion Self-Report) - (No Emotion Self-Report)","DeepSeek-v3",0.108773790168839,0.0157290277716241,Inf,0.0779454622246257,0.139602118113053,6.91548083887755,4.66279066245642e-12,"Emotion × Cost"
"(Emotion Self-Report) - (No Emotion Self-Report)","GPT-3.5",0.0394016421964547,0.00577457009497773,Inf,0.0280836927840963,0.0507195916088131,6.82330312878584,8.89706414894232e-12,"Emotion × Cost"
"(Emotion Self-Report) - (No Emotion Self-Report)","o3-mini",-0.352889737262455,0.0130260471959705,Inf,-0.378420320627476,-0.327359153897434,-27.0910838839598,1.25411861423157e-161,"Emotion × Allocation"
"(Emotion Self-Report) - (No Emotion Self-Report)","DeepSeek-R1",-0.633956350430603,0.0157734013757313,Inf,-0.664871649040731,-0.603041051820475,-40.191480285666,0,"Emotion × Allocation"
"(Emotion Self-Report) - (No Emotion Self-Report)","DeepSeek-v3",-7.8572804467139,0.238101847828709,Inf,-8.32395149311061,-7.39060940031719,-32.9996617765287,8.2136194437828e-239,"Emotion × Allocation"
"(Emotion Self-Report) - (No Emotion Self-Report)","GPT-3.5",-0.500433537102399,0.0119176431139503,Inf,-0.523791688386344,-0.477075385818455,-41.9909819682898,0,"Emotion × Allocation"
