Source,word,count,cumulative_count,cumulative_percent
Human,player,274,274,12.839737582005622
Human,unfair,66,340,15.932521087160262
Human,distribution,57,397,18.60356138706654
Human,amount,56,453,21.227741330834114
Human,money,55,508,23.80506091846298
Human,little,49,557,26.101218369259605
Human,agree,47,604,28.30365510777882
Human,get,43,647,30.318650421743204
Human,one,43,690,32.33364573570759
Human,can,40,730,34.20805998125586
Human,allocation,37,767,35.941893158388005
Human,fair,36,803,37.628865979381445
Human,much,35,838,39.268978444236176
Human,think,29,867,40.62792877225867
Human,allocated,25,892,41.79943767572634
Human,refuse,25,917,42.970946579194006
Human,two,25,942,44.14245548266167
Human,proposal,24,966,45.26710402999063
Human,players,23,989,46.344892221180885
Human,yuan,23,1012,47.42268041237113
Human,relatively,22,1034,48.45360824742268
Human,gave,20,1054,49.39081537019681
Human,small,17,1071,50.18744142455483
Human,want,17,1088,50.98406747891284
Human,gives,16,1104,51.73383317713215
Human,give,14,1118,52.389878163074044
Human,less,14,1132,53.04592314901593
Human,plan,14,1146,53.70196813495782
Human,gets,13,1159,54.31115276476102
Human,given,13,1172,54.9203373945642
Human,three,12,1184,55.48266166822869
Human,reject,12,1196,56.04498594189315
Human,reasonable,12,1208,56.60731021555764
Human,feel,12,1220,57.16963448922212
Human,allocates,12,1232,57.73195876288659
Human,unreasonable,11,1243,58.24742268041238
Human,also,10,1253,58.71602624179943
Human,difference,10,1263,59.1846298031865
Human,income,10,1273,59.653233364573566
Human,rejected,10,1283,60.121836925960636
Human,selfish,10,1293,60.590440487347706
Human,dollar,9,1302,61.01218369259607
Human,take,9,1311,61.43392689784443
Human,still,9,1320,61.855670103092784
Human,bit,9,1329,62.277413308341146
Human,acceptable,9,1338,62.69915651358951
Human,reward,8,1346,63.07403936269915
Human,accept,7,1353,63.4020618556701
Human,choose,7,1360,63.73008434864105
Human,everyone,7,1367,64.05810684161199
Human,first,7,1374,64.38612933458295
Human,low,7,1381,64.71415182755389
Human,people,7,1388,65.04217432052484
Human,see,6,1394,65.32333645735707
Human,interests,6,1400,65.60449859418932
Human,reason,6,1406,65.88566073102156
Human,line,6,1412,66.1668228678538
Human,just,6,1418,66.44798500468603
Human,greedy,6,1424,66.72914714151827
Human,giving,6,1430,67.0103092783505
Human,felt,6,1436,67.29147141518276
Human,different,6,1442,67.57263355201499
Human,chose,6,1448,67.85379568884724
Human,although,6,1454,68.13495782567948
Human,gap,5,1459,68.369259606373
Human,way,5,1464,68.60356138706653
Human,smaller,5,1469,68.83786316776008
Human,rewards,5,1474,69.0721649484536
Human,price,5,1479,69.30646672914715
Human,lose,5,1484,69.54076850984067
Human,least,5,1489,69.77507029053422
Human,large,5,1494,70.00937207122774
Human,bottom,5,1499,70.24367385192127
Human,fairly,5,1504,70.47797563261481
Human,fairer,5,1509,70.71227741330834
Human,expectations,5,1514,70.94657919400188
Human,disagree,5,1519,71.1808809746954
Human,choice,5,1524,71.41518275538894
Human,big,5,1529,71.64948453608247
Human,benefit,5,1534,71.88378631677601
Human,right,4,1538,72.07122774133083
Human,person,4,1542,72.25866916588566
Human,profit,4,1546,72.44611059044048
Human,keep,4,1550,72.63355201499532
Human,slightly,4,1554,72.82099343955014
Human,takes,4,1558,73.00843486410497
Human,uneven,4,1562,73.19587628865979
Human,make,4,1566,73.38331771321462
Human,principle,4,1570,73.57075913776944
Human,fairness,4,1574,73.75820056232428
Human,even,4,1578,73.9456419868791
Human,agreed,4,1582,74.13308341143393
Human,equal,4,1586,74.32052483598875
Human,distributed,4,1590,74.50796626054358
Human,decision,4,1594,74.6954076850984
Human,certain,4,1598,74.88284910965324
Human,benefits,4,1602,75.07029053420806
Human,exceeds,4,1606,75.25773195876289
Human,previous,3,1609,75.39831302717901
Human,really,3,1612,75.53889409559513
Human,ratio,3,1615,75.67947516401125
Human,quite,3,1618,75.82005623242736
Human,paid,3,1621,75.96063730084349
Human,possible,3,1624,76.1012183692596
Human,penny,3,1627,76.24179943767572
Human,particularly,3,1630,76.38238050609185
Human,round,3,1633,76.52296157450796
Human,others,3,1636,76.66354264292409
Human,refused,3,1639,76.80412371134021
Human,stingy,3,1642,76.94470477975632
Human,second,3,1645,77.08528584817245
Human,since,3,1648,77.22586691658857
Human,stand,3,1651,77.36644798500468
Human,need,3,1654,77.50702905342081
Human,thought,3,1657,77.64761012183693
Human,took,3,1660,77.78819119025304
Human,us,3,1663,77.92877225866917
Human,well,3,1666,78.0693533270853
Human,whether,3,1669,78.2099343955014
Human,within,3,1672,78.35051546391753
Human,without,3,1675,78.49109653233364
Human,nothing,3,1678,78.63167760074975
Human,something,3,1681,78.77225866916588
Human,matter,3,1684,78.912839737582
Human,consider,3,1687,79.05342080599812
Human,makes,3,1690,79.19400187441424
Human,always,3,1693,79.33458294283037
Human,amounts,3,1696,79.47516401124649
Human,appropriate,3,1699,79.6157450796626
Human,average,3,1702,79.75632614807873
Human,behavior,3,1705,79.89690721649485
Human,better,3,1708,80.03748828491096
Human,chooses,3,1711,80.17806935332709
Human,close,3,1714,80.31865042174321
Human,completely,3,1717,80.45923149015933
Human,angry,3,1720,80.59981255857545
Human,consideration,3,1723,80.74039362699156
Human,later,3,1726,80.88097469540769
Human,considering,3,1729,81.0215557638238
Human,losses,3,1732,81.16213683223992
Human,like,3,1735,81.30271790065603
Human,long,3,1738,81.44329896907216
Human,got,3,1741,81.58388003748829
Human,game,3,1744,81.7244611059044
Human,extremely,3,1747,81.86504217432052
Human,enough,3,1750,82.00562324273665
Human,lower,3,1753,82.14620431115276
Human,rejecting,2,1755,82.23992502343019
Human,proposals,2,1757,82.33364573570759
Human,refusal,2,1759,82.42736644798501
Human,rather,2,1761,82.52108716026243
Human,range,2,1763,82.61480787253983
Human,punished,2,1765,82.70852858481724
Human,punish,2,1767,82.80224929709465
Human,proposed,2,1769,82.89597000937206
Human,ones,2,1771,82.9896907216495
Human,points,2,1773,83.0834114339269
Human,point,2,1775,83.17713214620431
Human,payoff,2,1777,83.27085285848173
Human,option,2,1779,83.36457357075913
Human,offer,2,1781,83.45829428303655
Human,numbers,2,1783,83.55201499531397
Human,number,2,1785,83.64573570759137
Human,respect,2,1787,83.7394564198688
Human,rejection,2,1789,83.8331771321462
Human,unethical,2,1791,83.92689784442362
Human,selfishness,2,1793,84.02061855670104
Human,unbalanced,2,1795,84.11433926897844
Human,nature,2,1797,84.20805998125586
Human,wrong,2,1799,84.30178069353327
Human,win,2,1801,84.39550140581068
Human,wants,2,1803,84.4892221180881
Human,wanted,2,1805,84.58294283036551
Human,violates,2,1807,84.67666354264293
Human,unless,2,1809,84.77038425492034
Human,try,2,1811,84.86410496719775
Human,seriously,2,1813,84.95782567947516
Human,totally,2,1815,85.05154639175258
Human,together,2,1817,85.14526710402998
Human,times,2,1819,85.2389878163074
