participant_id,group,cost_level,fairness_group,n_trials,choice_mean,AA_valence_mean,AA_arousal_mean,AC_valence_mean,AC_arousal_mean,EmoFDBK_valence_mean,EmoFDBK_arousal_mean
14984,human,high,fair,5,0.0,12.0,-0.4,0.6,-10.6,-11.4,-10.2
14984,human,high,unfair,25,0.0,-6.0,0.0,8.48,37.84,14.48,37.84
14984,human,low,fair,5,0.0,12.0,2.4,1.6,-5.2,-10.4,-7.6
14984,human,low,unfair,25,0.44,-6.6,0.72,16.48,29.76,23.08,29.04
15496,human,high,fair,5,0.0,21.2,-8.8,-8.6,42.8,-29.8,51.6
15496,human,high,unfair,25,0.0,10.44,5.0,3.64,27.28,-6.8,22.28
15496,human,low,fair,5,0.0,18.6,-0.6,-16.6,53.6,-35.2,54.2
15496,human,low,unfair,25,0.28,19.32,2.2,15.48,19.8,-3.84,17.6
18395,human,high,fair,5,0.0,17.4,16.4,8.4,30.6,-9.0,14.2
18395,human,high,unfair,25,0.64,-11.6,11.24,17.4,8.4,29.0,-2.84
18395,human,low,fair,5,0.0,10.2,12.4,17.6,92.0,7.4,79.6
18395,human,low,unfair,25,0.76,-11.4,11.0,19.8,13.84,31.2,2.84
18956,human,high,fair,5,0.0,15.8,13.2,-14.2,52.0,-30.0,38.8
18956,human,high,unfair,25,0.28,-1.68,6.48,20.2,29.96,21.88,23.48
18956,human,low,fair,5,0.0,18.6,16.4,26.2,47.4,7.6,31.0
18956,human,low,unfair,25,0.48,-9.32,7.32,16.88,31.92,26.2,24.6
20376,human,high,fair,5,0.0,12.8,12.0,-25.4,67.0,-38.2,55.0
20376,human,high,unfair,25,0.16,-7.96,5.56,14.52,52.72,22.48,47.16
20376,human,low,fair,5,0.0,14.2,11.2,-3.0,11.2,-17.2,0.0
20376,human,low,unfair,25,0.8,-7.68,5.16,3.92,41.88,11.6,36.72
20486,human,high,fair,5,0.0,22.0,23.2,17.2,30.6,-4.8,7.4
20486,human,high,unfair,25,0.6,-12.84,13.72,14.6,17.0,27.44,3.28
20486,human,low,fair,5,0.0,23.8,25.0,33.6,48.8,9.8,23.8
20486,human,low,unfair,25,0.8,-11.32,14.4,21.36,36.92,32.68,22.52
20805,human,high,fair,5,0.0,5.4,0.0,31.8,9.6,26.4,9.6
20805,human,high,unfair,25,0.32,1.56,-0.84,4.56,22.2,3.0,23.04
20805,human,low,fair,5,0.0,2.8,-0.2,-4.4,47.2,-7.2,47.4
20805,human,low,unfair,25,0.68,-1.4,-1.48,10.76,21.68,12.16,23.16
22135,human,high,fair,5,0.0,29.0,28.4,16.2,26.8,-12.8,-1.6
22135,human,high,unfair,25,0.52,-3.24,-3.6,13.96,9.08,17.2,12.68
22135,human,low,fair,5,0.0,29.0,28.2,11.2,28.8,-17.8,0.6
22135,human,low,unfair,25,0.8,-9.96,10.48,4.76,13.96,14.72,3.48
23798,human,high,fair,5,0.0,12.0,10.0,14.2,47.2,2.2,37.2
23798,human,high,unfair,25,0.24,-1.4,4.24,-2.64,25.48,-1.24,21.24
23798,human,low,fair,5,0.0,14.4,10.2,52.2,1.2,37.8,-9.0
23798,human,low,unfair,25,0.6,-3.6,7.36,7.56,30.76,11.16,23.4
24913,human,high,fair,5,0.2,-2.0,7.0,-15.0,9.0,-13.0,2.0
24913,human,high,unfair,25,0.24,-3.48,-0.32,21.08,37.04,24.56,37.36
24913,human,low,fair,5,0.4,-4.0,-13.8,13.2,1.0,17.2,14.8
24913,human,low,unfair,25,0.32,-2.44,-3.8,14.32,31.76,16.76,35.56
25498,human,high,fair,5,0.0,20.0,5.6,7.6,7.4,-12.4,1.8
25498,human,high,unfair,25,0.0,-6.96,-0.96,8.32,1.12,15.28,2.08
25498,human,low,fair,5,0.0,18.2,5.4,-8.2,48.0,-26.4,42.6
25498,human,low,unfair,25,0.24,-6.76,-0.8,24.52,24.72,31.28,25.52
26878,human,high,fair,5,0.8,18.8,-17.8,-5.6,43.4,-24.4,61.2
26878,human,high,unfair,25,0.76,15.52,-18.84,18.76,10.08,3.24,28.92
26878,human,low,fair,5,1.0,16.4,-22.8,-25.0,6.2,-41.4,29.0
26878,human,low,unfair,25,0.92,16.96,-21.28,8.64,17.08,-8.32,38.36
29577,human,high,fair,5,0.0,17.0,8.6,25.2,-33.2,8.2,-41.8
29577,human,high,unfair,25,0.36,9.84,-5.56,10.32,30.12,0.48,35.68
29577,human,low,fair,5,0.0,10.6,5.2,20.4,61.2,9.8,56.0
29577,human,low,unfair,25,0.6,1.12,-5.68,20.96,16.24,19.84,21.92
32343,human,high,fair,5,0.8,4.0,-8.2,27.8,7.0,23.8,15.2
32343,human,high,unfair,25,0.76,-0.4,-9.32,13.32,35.96,13.72,45.28
32343,human,low,fair,5,0.6,-1.6,-15.2,27.6,26.0,29.2,41.2
32343,human,low,unfair,25,0.8,-10.96,-9.2,21.32,21.2,32.28,30.4
33969,human,high,fair,5,0.0,17.2,-22.0,30.4,63.8,13.2,85.8
33969,human,high,unfair,25,0.0,12.56,-20.72,21.36,8.84,8.8,29.56
33969,human,low,fair,5,0.0,17.2,-21.8,-9.4,9.2,-26.6,31.0
33969,human,low,unfair,25,0.04,12.32,-22.8,20.88,15.2,8.56,38.0
37066,human,high,fair,5,0.0,18.8,16.6,-16.8,35.0,-35.6,18.4
37066,human,high,unfair,25,0.52,-4.04,3.8,15.72,26.72,19.76,22.92
37066,human,low,fair,5,0.0,19.8,19.4,11.8,37.8,-8.0,18.4
37066,human,low,unfair,25,0.72,-6.48,-0.48,19.4,34.32,25.88,34.8
39536,human,high,fair,5,0.6,-0.2,4.0,20.2,-7.8,20.4,-11.8
39536,human,high,unfair,25,0.52,-5.16,-2.24,14.68,39.16,19.84,41.4
39536,human,low,fair,5,0.4,-5.2,-0.2,37.2,53.4,42.4,53.6
39536,human,low,unfair,25,0.84,3.96,6.32,16.56,4.0,12.6,-2.32
39666,human,high,fair,5,0.0,23.0,9.2,18.4,31.2,-4.6,22.0
39666,human,high,unfair,25,0.36,-0.84,2.6,12.56,17.4,13.4,14.8
39666,human,low,fair,5,0.0,20.6,18.0,-5.6,42.2,-26.2,24.2
39666,human,low,unfair,25,0.68,-9.4,4.84,10.4,18.04,19.8,13.2
40237,human,high,fair,5,0.0,13.8,16.2,7.8,24.0,-6.0,7.8
40237,human,high,unfair,25,0.76,-5.6,7.8,27.8,22.04,33.4,14.24
40237,human,low,fair,5,0.0,13.2,15.6,27.2,-26.8,14.0,-42.4
40237,human,low,unfair,25,0.64,-6.92,6.36,10.8,25.56,17.72,19.2
40993,human,high,fair,5,0.0,5.8,5.6,-1.2,41.2,-7.0,35.6
40993,human,high,unfair,25,0.0,-6.6,-2.08,31.08,14.56,37.68,16.64
40993,human,low,fair,5,0.2,5.6,4.8,2.8,-4.8,-2.8,-9.6
40993,human,low,unfair,25,0.2,-6.28,-3.76,19.04,46.56,25.32,50.32
41340,human,high,fair,5,0.0,21.6,22.0,6.8,-28.2,-14.8,-50.2
41340,human,high,unfair,25,0.52,-5.72,16.36,8.24,33.16,13.96,16.8
41340,human,low,fair,5,0.0,20.4,21.0,-0.8,43.0,-21.2,22.0
41340,human,low,unfair,25,0.6,-8.6,15.44,16.16,25.08,24.76,9.64
42709,human,high,fair,5,0.0,-13.0,-9.4,-29.4,41.2,-16.4,50.6
42709,human,high,unfair,25,0.0,-10.04,-5.88,19.68,25.16,29.72,31.04
42709,human,low,fair,5,0.2,-10.4,-14.6,39.4,59.0,49.8,73.6
42709,human,low,unfair,25,0.56,-14.28,-12.76,23.96,22.56,38.24,35.32
43897,human,high,fair,5,0.0,27.0,21.0,-13.6,31.8,-40.6,10.8
43897,human,high,unfair,25,0.6,1.68,17.88,18.92,13.52,17.24,-4.36
43897,human,low,fair,5,0.0,27.2,20.6,27.2,51.4,0.0,30.8
43897,human,low,unfair,25,0.56,2.36,19.48,26.32,27.32,23.96,7.84
44664,human,high,fair,5,0.0,-0.2,0.2,30.6,4.2,30.8,4.0
44664,human,high,unfair,25,0.76,-17.4,14.68,9.64,22.72,27.04,8.04
44664,human,low,fair,5,0.0,0.2,0.0,37.2,20.2,37.0,20.2
44664,human,low,unfair,25,0.88,-18.16,13.6,2.84,40.84,21.0,27.24
44902,human,high,fair,5,0.0,-0.4,0.4,-0.8,-44.4,-0.4,-44.8
44902,human,high,unfair,25,0.56,-16.44,13.76,19.8,3.36,36.24,-10.4
44902,human,low,fair,5,0.0,0.0,0.4,29.6,59.6,29.6,59.2
44902,human,low,unfair,25,0.84,-17.88,14.64,21.84,3.88,39.72,-10.76
44961,human,high,fair,5,0.0,2.6,-0.6,39.2,11.6,36.6,12.2
44961,human,high,unfair,25,0.0,0.84,0.16,18.24,9.8,17.4,9.64
44961,human,low,fair,5,0.0,12.6,6.8,-2.8,25.4,-15.4,18.6
44961,human,low,unfair,25,0.08,5.08,2.0,22.32,40.32,17.24,38.32
47131,human,high,fair,5,0.2,-15.6,7.0,28.4,27.6,44.0,20.6
47131,human,high,unfair,25,0.16,-13.4,6.8,12.04,8.52,25.44,1.72
