participant_id,group,cost_level,fairness_group,n_trials,choice_mean,AA_valence_mean,AA_arousal_mean,AC_valence_mean,AC_arousal_mean,EmoFDBK_valence_mean,EmoFDBK_arousal_mean
899259,human,low,unfair,25,0.68,-12.2,9.04,15.16,9.84,19.44,12.44
900761,human,high,fair,5,0.0,0.0,0.0,46.2,-10.8,62.6,-27.2
900761,human,high,unfair,25,0.0,-4.72,-2.6,21.04,20.64,35.0,16.76
900761,human,low,fair,5,0.0,8.8,0.4,5.8,25.2,24.2,8.4
900761,human,low,unfair,25,0.24,2.32,-2.72,10.8,39.28,22.68,24.56
902638,human,high,fair,5,0.0,16.6,8.8,23.2,-2.6,26.4,0.2
902638,human,high,unfair,25,0.0,-8.4,-6.24,22.96,27.8,22.84,29.68
902638,human,low,fair,5,0.0,19.2,14.0,14.0,16.2,17.0,14.6
902638,human,low,unfair,25,0.36,-11.16,-6.12,17.48,10.24,19.52,10.8
904295,human,high,fair,5,0.0,29.4,27.6,-1.4,48.2,4.0,37.2
904295,human,high,unfair,25,0.08,-19.76,12.4,17.64,19.36,24.84,8.92
904295,human,low,fair,5,0.0,29.0,27.8,11.6,10.6,18.8,4.0
904295,human,low,unfair,25,0.52,-19.04,12.68,29.4,-21.4,37.28,-32.0
906220,human,high,fair,5,0.0,12.0,19.2,36.8,3.6,42.4,7.0
906220,human,high,unfair,25,0.28,-5.84,-4.12,14.28,19.92,17.88,21.84
906220,human,low,fair,5,0.0,15.0,15.6,29.0,48.6,26.2,53.0
906220,human,low,unfair,25,0.32,-1.28,-3.44,16.84,28.68,13.32,30.44
907653,human,high,fair,5,0.6,7.0,6.8,26.0,42.2,28.6,50.8
907653,human,high,unfair,25,0.4,3.52,1.24,15.48,20.32,20.04,23.08
907653,human,low,fair,5,0.4,-11.4,-4.4,20.4,23.2,29.0,27.2
907653,human,low,unfair,25,0.68,-5.76,-5.4,13.84,37.04,19.44,39.56
908266,human,high,fair,5,0.0,19.4,20.8,14.8,31.8,28.0,8.2
908266,human,high,unfair,25,0.32,-7.08,9.56,25.04,27.28,36.28,14.08
908266,human,low,fair,5,0.2,8.4,2.2,35.4,22.0,46.4,-0.4
908266,human,low,unfair,25,0.68,-5.12,7.8,20.36,38.08,31.4,24.32
909126,human,high,fair,5,0.0,19.6,3.6,34.6,23.4,39.6,21.0
909126,human,high,unfair,25,0.04,-13.44,3.0,19.2,20.12,21.64,20.88
909126,human,low,fair,5,0.0,15.6,3.0,19.8,17.6,15.0,15.4
909126,human,low,unfair,25,0.6,-7.52,2.84,17.68,8.84,16.92,9.6
911126,human,high,fair,5,0.0,14.8,18.6,-11.0,16.6,-6.4,19.2
911126,human,high,unfair,25,0.16,-10.56,13.28,3.6,40.28,10.72,46.04
911126,human,low,fair,5,0.0,14.2,8.0,33.8,22.8,31.2,22.0
911126,human,low,unfair,25,0.6,-7.72,5.68,28.16,9.48,23.76,7.04
912230,human,high,fair,5,0.0,16.2,9.6,24.0,31.4,32.4,23.4
912230,human,high,unfair,25,0.36,-8.0,13.72,11.04,4.16,12.56,-7.96
912230,human,low,fair,5,0.0,15.8,1.2,29.8,49.8,29.2,44.4
912230,human,low,unfair,25,0.4,-3.72,7.48,20.04,6.8,23.6,-0.36
912572,human,high,fair,5,0.0,24.4,26.2,10.4,12.8,16.0,9.6
912572,human,high,unfair,25,0.4,-12.76,19.08,12.92,19.04,16.2,16.24
912572,human,low,fair,5,0.0,17.8,22.6,34.4,-22.4,43.6,-25.0
912572,human,low,unfair,25,0.76,-10.68,19.52,15.96,25.64,23.64,22.44
913115,human,high,fair,5,0.0,-2.8,7.8,21.0,20.4,29.6,15.4
913115,human,high,unfair,25,0.04,-5.04,5.6,9.0,-0.08,12.16,-6.36
913115,human,low,fair,5,0.8,-1.8,7.4,40.8,47.2,55.4,30.8
913115,human,low,unfair,25,0.6,-0.08,9.16,8.88,43.12,13.56,29.4
913565,human,high,fair,5,0.0,14.2,12.8,3.0,-3.8,11.0,-18.6
913565,human,high,unfair,25,0.0,7.48,1.88,14.4,9.36,17.56,-3.32
913565,human,low,fair,5,0.0,15.8,9.6,-14.8,61.4,-16.4,60.4
913565,human,low,unfair,25,0.0,6.56,2.24,13.96,-1.2,14.84,-8.72
913662,human,high,fair,5,0.0,-16.0,0.8,14.4,40.4,14.4,19.2
913662,human,high,unfair,25,0.04,-15.0,-2.72,30.32,26.72,37.44,6.92
913662,human,low,fair,5,0.4,-15.4,-9.8,26.0,28.8,31.0,16.0
913662,human,low,unfair,25,0.36,-16.88,-4.52,1.88,28.2,8.76,6.44
913741,human,high,fair,5,0.0,24.8,27.8,4.4,49.6,6.8,41.2
913741,human,high,unfair,25,0.08,0.84,3.76,21.96,27.84,21.92,18.88
913741,human,low,fair,5,0.2,19.8,21.6,9.2,23.4,10.2,15.6
913741,human,low,unfair,25,0.72,2.8,2.24,15.04,11.24,20.44,5.64
913916,human,high,fair,5,0.0,7.6,-6.8,-8.0,41.6,-18.2,36.8
913916,human,high,unfair,25,0.56,-0.16,-3.44,19.44,5.44,11.76,2.24
913916,human,low,fair,5,0.0,4.4,-4.4,29.6,12.2,18.6,6.8
913916,human,low,unfair,25,0.72,-7.76,0.24,17.84,17.12,9.72,13.76
914535,human,high,fair,5,0.0,13.4,11.6,-6.4,31.6,11.0,37.8
914535,human,high,unfair,25,0.52,-8.68,6.36,9.6,22.16,26.08,27.4
914535,human,low,fair,5,0.0,18.4,18.0,17.0,34.0,33.4,36.0
914535,human,low,unfair,25,0.84,-13.88,12.36,15.08,16.6,30.0,18.76
915664,human,high,fair,5,0.0,15.2,8.2,2.2,11.4,-3.6,4.4
915664,human,high,unfair,25,0.4,-4.36,3.68,18.8,17.8,14.16,9.88
915664,human,low,fair,5,0.0,9.6,2.4,1.0,-28.4,-13.6,-42.8
915664,human,low,unfair,25,0.72,-4.52,-0.36,26.24,24.44,22.4,20.76
917376,human,high,fair,5,0.2,7.8,-0.2,-6.6,68.8,-7.4,73.2
917376,human,high,unfair,25,0.36,-1.64,-0.68,24.12,31.44,22.92,35.36
917376,human,low,fair,5,0.8,14.0,7.6,40.2,32.6,47.2,30.6
917376,human,low,unfair,25,0.68,-3.6,6.16,38.96,20.08,44.44,21.12
917637,human,high,fair,5,0.0,20.6,18.8,24.2,21.8,39.8,8.0
917637,human,high,unfair,25,0.0,-10.04,2.88,4.68,10.0,11.76,-3.2
917637,human,low,fair,5,0.0,19.6,18.0,-10.4,15.8,-11.8,9.4
917637,human,low,unfair,25,0.44,-9.04,1.24,4.52,28.88,10.8,21.48
921263,human,high,fair,5,0.0,21.2,-29.6,26.2,1.8,17.0,-4.0
921263,human,high,unfair,25,0.0,-5.36,-26.8,23.48,1.76,26.64,-2.4
921263,human,low,fair,5,0.2,15.6,-27.4,0.0,-51.6,5.2,-51.2
921263,human,low,unfair,25,0.6,-3.56,-27.28,20.8,18.28,22.36,18.08
921330,human,high,fair,5,0.2,6.6,6.2,-5.8,21.4,-8.6,18.8
921330,human,high,unfair,25,0.24,5.76,8.48,12.24,31.56,13.6,24.4
921330,human,low,fair,5,0.0,11.2,13.8,45.4,-21.0,43.6,-19.4
921330,human,low,unfair,25,0.4,8.44,10.84,20.16,25.28,20.6,25.68
923468,human,high,fair,5,0.0,-2.8,21.4,40.6,29.8,43.8,19.8
923468,human,high,unfair,25,0.24,-12.44,20.8,13.24,17.84,18.52,13.2
923468,human,low,fair,5,0.0,10.4,11.2,34.4,18.2,43.6,14.6
923468,human,low,unfair,25,0.52,2.84,8.52,12.44,18.8,15.72,14.68
926560,human,high,fair,5,0.0,18.0,14.8,45.6,74.2,49.4,103.8
926560,human,high,unfair,25,0.04,-4.68,3.28,5.68,11.68,6.04,38.48
926560,human,low,fair,5,0.0,18.4,-2.4,14.8,19.8,19.8,48.4
926560,human,low,unfair,25,0.4,-2.52,1.4,16.68,15.04,16.12,42.08
926887,human,high,fair,5,0.4,-3.0,-0.4,3.2,37.8,-0.6,27.2
926887,human,high,unfair,25,0.32,4.36,3.2,27.56,20.16,17.64,8.68
926887,human,low,fair,5,0.2,14.4,5.4,5.0,10.4,-6.0,-1.2
926887,human,low,unfair,25,0.76,1.68,3.48,12.28,6.16,7.4,-1.24
928525,human,high,fair,5,0.0,25.2,24.0,-2.8,24.4,-10.0,16.0
928525,human,high,unfair,25,1.0,-22.56,21.32,20.16,30.08,16.68,21.0
928525,human,low,fair,5,0.0,17.6,14.0,11.8,7.2,17.0,-13.0
928525,human,low,unfair,25,1.0,-22.24,19.72,16.04,35.68,28.0,14.64
930089,human,high,fair,5,0.2,-1.8,-2.0,22.8,60.4,25.2,55.4
930089,human,high,unfair,25,0.36,1.12,-7.28,9.2,29.8,7.56,29.88
930089,human,low,fair,5,0.2,0.0,-0.6,13.6,49.8,13.4,43.4
930089,human,low,unfair,25,0.68,0.04,-5.8,28.32,23.56,29.44,18.6
931271,human,high,fair,5,0.0,4.6,5.6,4.2,48.8,-3.2,44.6
931271,human,high,unfair,25,0.56,-10.4,-12.16,23.32,16.0,21.04,13.72
931271,human,low,fair,5,0.2,1.2,2.2,14.6,69.2,7.8,65.0
931271,human,low,unfair,25,0.92,-14.56,-16.28,13.88,27.92,10.68,24.2
933690,human,high,fair,5,0.0,20.0,18.0,32.4,30.6,39.0,40.0
933690,human,high,unfair,25,0.44,6.36,9.24,4.68,16.12,12.64,25.04
933690,human,low,fair,5,0.2,19.6,15.6,34.2,16.8,41.2,32.0
933690,human,low,unfair,25,0.76,11.44,17.8,4.56,29.52,7.6,41.48
934438,human,high,fair,5,0.0,2.0,0.2,40.0,-15.6,52.6,-35.6
934438,human,high,unfair,25,0.08,-3.52,0.04,19.36,24.68,34.36,2.56
934438,human,low,fair,5,0.0,3.0,0.2,-0.8,53.6,11.2,37.0
934438,human,low,unfair,25,0.44,-3.96,0.12,15.8,27.12,32.12,7.92
936265,human,high,fair,5,0.0,2.2,1.6,28.2,19.4,35.4,34.4
936265,human,high,unfair,25,0.04,1.44,3.32,8.28,17.6,6.8,20.52
936265,human,low,fair,5,1.0,-3.0,4.4,3.8,52.6,-2.6,54.2
936265,human,low,unfair,25,0.92,2.72,3.4,20.72,19.36,21.24,26.72
936290,human,high,fair,5,0.0,13.6,12.4,4.2,64.2,13.6,75.8
936290,human,high,unfair,25,0.32,-8.68,2.44,21.56,30.36,29.16,39.08
936290,human,low,fair,5,0.4,15.4,9.4,17.6,62.6,26.6,73.6
936290,human,low,unfair,25,0.92,-7.2,-1.6,24.64,53.16,37.16,66.8
936398,human,high,fair,5,0.6,1.2,-15.8,33.6,24.4,27.6,11.4
936398,human,high,unfair,25,0.48,3.72,-17.16,14.6,40.8,0.44,22.48
936398,human,low,fair,5,0.4,-6.8,10.4,39.0,22.8,42.2,7.2
936398,human,low,unfair,25,0.56,0.4,-1.92,14.2,14.96,3.2,5.24
936577,human,high,fair,5,0.4,-1.8,-16.8,11.8,39.2,14.8,39.2
936577,human,high,unfair,25,0.12,-10.88,-5.92,13.24,29.52,15.76,29.44
936577,human,low,fair,5,1.0,-1.2,-21.4,41.2,5.0,41.4,4.8
936577,human,low,unfair,25,1.0,-9.2,-15.4,21.6,36.68,24.92,36.56
938496,human,high,fair,5,0.6,-0.6,0.6,11.2,15.2,13.4,11.8
938496,human,high,unfair,25,0.6,-0.2,0.2,20.24,29.68,17.68,26.08
938496,human,low,fair,5,0.2,1.6,1.2,16.2,56.4,18.4,54.2
938496,human,low,unfair,25,0.2,2.72,0.32,11.0,23.2,8.68,20.0
939727,human,high,fair,5,0.4,-3.0,11.2,14.6,6.0,17.2,1.8
939727,human,high,unfair,25,0.56,2.92,6.88,17.52,28.28,21.12,28.84
939727,human,low,fair,5,0.0,-3.0,12.8,3.4,-5.2,15.2,-7.0
939727,human,low,unfair,25,0.44,2.8,12.32,18.04,22.56,21.64,18.0
942637,human,high,fair,5,0.0,15.0,19.4,39.6,1.4,43.6,2.2
942637,human,high,unfair,25,0.12,3.2,4.04,20.56,38.84,20.72,38.52
942637,human,low,fair,5,0.0,14.2,17.2,8.0,29.8,2.0,44.4
942637,human,low,unfair,25,0.44,0.6,0.76,19.88,3.28,17.12,20.68
945036,human,high,fair,5,0.0,-6.6,-12.2,11.0,59.8,14.0,68.4
945036,human,high,unfair,25,0.2,-17.96,-2.28,20.12,23.16,30.76,30.72
945036,human,low,fair,5,0.2,-14.6,-14.0,-2.0,-3.0,3.8,13.8
945036,human,low,unfair,25,0.4,-20.04,6.36,15.2,32.24,23.48,48.56
945143,human,high,fair,5,0.0,20.4,17.2,25.8,44.6,24.6,44.4
945143,human,high,unfair,25,0.0,-7.2,18.08,15.0,28.96,12.2,28.44
945143,human,low,fair,5,0.0,20.6,15.2,8.6,29.8,9.2,29.6
945143,human,low,unfair,25,0.28,-7.4,2.76,19.56,15.92,19.76,15.64
949980,human,high,fair,5,0.0,19.2,21.4,17.0,8.4,12.6,-0.4
949980,human,high,unfair,25,0.08,-7.2,14.64,20.36,24.72,18.92,17.36
949980,human,low,fair,5,0.4,12.6,21.6,-0.2,-17.0,-1.8,-31.2
949980,human,low,unfair,25,0.76,-6.52,14.96,17.32,12.96,15.44,0.92
952011,human,high,fair,5,0.0,17.8,2.6,32.0,14.6,26.4,9.0
952011,human,high,unfair,25,0.08,-4.64,2.8,-1.76,-0.32,-6.84,-7.12
952011,human,low,fair,5,0.0,5.8,2.6,9.4,42.6,9.0,42.4
952011,human,low,unfair,25,0.76,-7.72,2.36,17.96,10.76,14.6,6.6
953702,human,high,fair,5,0.2,-6.0,4.6,3.8,-27.6,18.4,-20.2
953702,human,high,unfair,25,0.16,-13.32,-3.36,0.64,33.64,17.0,36.88
953702,human,low,fair,5,0.0,2.6,10.8,33.8,46.8,51.4,55.0
953702,human,low,unfair,25,0.0,-11.32,11.0,18.92,30.56,38.36,25.36
954310,human,high,fair,5,0.0,-6.6,-12.8,10.6,7.4,9.4,5.8
954310,human,high,unfair,25,0.0,-8.52,-16.52,5.04,30.0,8.56,24.52
954310,human,low,fair,5,0.0,-7.0,-17.4,4.6,9.0,3.8,-4.0
954310,human,low,unfair,25,0.0,-7.56,-16.0,16.16,33.32,19.44,14.4
954835,human,high,fair,5,0.0,13.6,7.8,-10.0,31.6,-11.0,12.8
954835,human,high,unfair,25,0.2,-11.04,2.76,21.48,34.92,25.04,19.76
954835,human,low,fair,5,0.0,8.2,4.4,1.4,45.0,7.2,29.4
954835,human,low,unfair,25,0.8,-8.28,5.76,12.24,28.32,15.08,12.16
956147,human,high,fair,5,0.0,18.2,18.8,17.8,65.8,23.6,63.6
956147,human,high,unfair,25,0.0,-9.36,-5.8,16.92,14.92,22.32,12.48
956147,human,low,fair,5,0.0,13.8,10.4,9.2,29.0,8.8,26.6
956147,human,low,unfair,25,0.12,-6.4,-2.44,18.24,33.64,19.4,30.8
958730,human,high,fair,5,0.0,8.0,-9.0,10.6,-2.8,14.0,-18.0
958730,human,high,unfair,25,0.0,-12.36,-11.04,27.8,15.8,37.92,5.68
958730,human,low,fair,5,0.0,5.0,-5.4,29.2,84.2,44.4,98.6
958730,human,low,unfair,25,0.56,-11.56,-9.12,24.12,27.24,35.6,26.8
959407,human,high,fair,5,0.0,27.2,28.2,28.0,3.8,38.4,26.4
959407,human,high,unfair,25,0.32,-11.24,12.88,35.44,21.64,42.32,36.6
959407,human,low,fair,5,0.2,28.6,28.0,15.2,3.4,24.0,13.2
959407,human,low,unfair,25,0.48,-4.48,18.16,10.48,17.28,18.56,34.4
959859,human,high,fair,5,0.0,24.2,25.4,24.2,11.0,36.2,8.8
959859,human,high,unfair,25,0.0,-11.44,11.96,26.84,23.88,32.76,20.0
959859,human,low,fair,5,0.0,16.8,21.2,25.8,-3.6,30.4,-7.6
959859,human,low,unfair,25,0.56,-11.64,11.72,14.84,43.24,20.56,37.4
960616,human,high,fair,5,0.0,-0.2,0.2,29.6,69.0,37.8,66.0
960616,human,high,unfair,25,0.24,-13.84,11.6,13.2,10.04,17.28,12.68
960616,human,low,fair,5,0.0,-0.6,-0.2,4.2,28.0,6.2,26.2
960616,human,low,unfair,25,0.8,-9.28,9.8,9.08,23.72,12.32,24.44
965288,human,high,fair,5,0.0,20.2,23.0,12.2,4.2,19.2,12.2
965288,human,high,unfair,25,0.0,0.84,-5.16,13.32,32.36,22.48,40.96
965288,human,low,fair,5,0.0,19.2,21.0,25.0,29.4,30.8,38.2
965288,human,low,unfair,25,0.48,-12.04,-6.68,9.4,26.0,19.0,37.08
965337,human,high,fair,5,0.0,29.2,14.0,1.4,9.2,21.6,5.2
965337,human,high,unfair,25,0.0,-8.12,3.64,25.36,13.28,27.12,-4.44
965337,human,low,fair,5,0.0,27.6,14.8,24.8,43.6,15.4,26.4
965337,human,low,unfair,25,0.12,0.0,2.84,10.28,2.32,10.92,-18.0
965460,human,high,fair,5,0.0,19.6,18.8,18.0,-7.0,23.2,-20.2
965460,human,high,unfair,25,0.2,8.32,3.04,15.56,45.64,22.8,32.32
965460,human,low,fair,5,0.0,18.2,20.0,-0.4,1.0,4.6,-13.8
965460,human,low,unfair,25,0.68,6.28,6.12,12.4,8.36,18.0,-5.72
966259,human,high,fair,5,0.0,15.8,19.2,32.6,34.4,36.2,29.0
966259,human,high,unfair,25,0.08,-11.4,12.68,21.84,22.96,30.52,14.28
966259,human,low,fair,5,0.0,17.2,19.0,9.2,22.6,18.8,16.4
966259,human,low,unfair,25,0.8,-13.36,16.12,25.56,51.2,37.52,40.8
966326,human,high,fair,5,0.4,-1.0,-1.2,14.8,4.4,27.8,5.6
966326,human,high,unfair,25,0.4,-2.96,0.32,30.76,16.72,36.36,18.96
966326,human,low,fair,5,0.2,4.8,-4.2,32.8,-2.8,35.8,-1.6
966326,human,low,unfair,25,0.48,6.32,3.56,11.88,19.12,6.4,19.44
967701,human,high,fair,5,0.0,26.2,28.2,23.8,33.4,13.0,26.0
967701,human,high,unfair,25,0.64,-15.28,15.0,12.56,35.28,9.2,30.96
967701,human,low,fair,5,0.4,26.2,28.0,2.4,30.6,9.2,26.0
967701,human,low,unfair,25,0.88,-15.96,15.44,21.96,37.2,22.88,31.68
969486,human,high,fair,5,0.0,18.2,5.0,58.6,61.4,55.4,60.0
969486,human,high,unfair,25,0.16,1.44,1.24,9.36,15.0,-2.24,8.48
969486,human,low,fair,5,0.0,17.8,9.8,14.4,53.0,1.4,41.4
969486,human,low,unfair,25,0.44,-2.44,2.36,9.8,32.52,2.48,24.72
969820,human,high,fair,5,0.0,0.4,0.6,-22.6,29.2,-8.8,11.8
969820,human,high,unfair,25,0.04,-12.92,14.72,15.32,30.24,22.48,13.8
969820,human,low,fair,5,0.2,7.8,9.4,19.0,6.0,16.4,-6.0
969820,human,low,unfair,25,0.36,-6.6,13.68,11.76,15.88,20.52,1.76
970124,human,high,fair,5,0.0,3.6,3.0,27.6,4.0,18.4,0.0
970124,human,high,unfair,25,1.0,-15.12,14.52,15.56,34.08,10.12,32.16
970124,human,low,fair,5,0.0,5.0,3.4,10.8,24.2,6.0,28.8
970124,human,low,unfair,25,1.0,-15.68,14.76,14.96,42.8,19.08,41.8
972554,human,high,fair,5,0.0,16.2,7.6,13.6,71.4,19.8,54.4
972554,human,high,unfair,25,0.16,-5.92,8.8,22.4,36.76,31.88,19.12
972554,human,low,fair,5,0.0,15.6,8.2,17.8,49.8,31.6,31.2
972554,human,low,unfair,25,0.36,-6.16,9.24,18.48,19.6,25.76,2.68
975148,human,high,fair,5,0.0,19.6,17.2,41.4,-1.6,39.4,-5.6
975148,human,high,unfair,25,0.28,-5.04,12.92,23.44,27.32,22.72,23.8
975148,human,low,fair,5,0.0,18.8,15.6,24.0,30.4,15.6,27.0
975148,human,low,unfair,25,0.6,-5.72,12.92,28.84,29.16,25.44,27.6
978346,human,high,fair,5,0.0,26.4,24.6,37.0,23.2,50.8,12.8
978346,human,high,unfair,25,0.0,2.68,2.8,16.68,29.36,26.76,16.6
978346,human,low,fair,5,0.0,26.0,23.6,8.6,-54.4,14.6,-68.8
978346,human,low,unfair,25,0.16,3.44,4.32,3.76,46.88,7.6,34.2
980689,human,high,fair,5,0.0,16.0,16.6,36.4,30.6,51.8,15.4
980689,human,high,unfair,25,0.0,-3.76,5.68,19.04,35.32,30.64,22.92
980689,human,low,fair,5,0.0,14.0,11.8,18.8,38.0,26.0,28.2
980689,human,low,unfair,25,0.24,-3.4,2.28,17.84,14.56,30.8,1.4
981037,human,high,fair,5,0.0,12.6,10.6,16.0,20.0,16.4,9.2
981037,human,high,unfair,25,0.32,-5.04,6.8,17.32,40.48,19.92,32.32
981037,human,low,fair,5,0.0,15.8,9.0,-20.4,44.4,-24.6,34.8
981037,human,low,unfair,25,0.64,-6.4,4.72,15.24,26.72,19.12,17.76
981075,human,high,fair,5,0.0,11.2,0.8,27.6,14.2,19.4,3.2
981075,human,high,unfair,25,0.0,-12.88,5.12,11.56,29.08,14.32,14.92
981075,human,low,fair,5,0.2,12.6,1.0,35.8,21.2,44.0,6.4
981075,human,low,unfair,25,0.2,-7.4,1.76,3.0,50.72,3.32,37.64
983069,human,high,fair,5,0.0,18.8,24.0,17.2,36.2,10.0,29.4
983069,human,high,unfair,25,0.8,-14.04,2.48,17.52,30.92,11.0,24.56
983069,human,low,fair,5,0.0,19.0,13.6,-2.8,50.2,-10.4,40.8
983069,human,low,unfair,25,0.76,-7.2,-5.56,11.88,5.0,4.76,-2.16
983317,human,high,fair,5,0.0,18.0,19.8,6.8,54.6,4.6,51.2
983317,human,high,unfair,25,0.0,-3.04,7.36,22.16,53.68,23.16,45.36
983317,human,low,fair,5,0.2,11.4,16.6,-10.8,43.2,-5.8,38.8
983317,human,low,unfair,25,0.6,-2.0,11.84,21.52,17.92,21.12,14.16
985227,human,high,fair,5,0.0,7.4,4.4,30.4,27.4,31.6,21.0
985227,human,high,unfair,25,0.0,-6.88,3.72,21.48,-0.96,24.48,-6.2
985227,human,low,fair,5,0.0,2.6,0.2,15.6,13.4,13.2,9.0
985227,human,low,unfair,25,0.24,-8.04,2.08,26.56,33.2,29.56,25.16
986665,human,high,fair,5,0.0,6.8,0.2,25.2,17.6,26.0,15.0
986665,human,high,unfair,25,0.32,5.04,10.04,17.48,36.08,22.2,34.64
986665,human,low,fair,5,0.0,4.0,0.4,9.2,6.8,14.2,0.4
986665,human,low,unfair,25,0.8,10.2,11.16,5.36,20.28,15.0,16.28
986921,human,high,fair,5,0.0,0.0,0.0,33.2,65.4,25.0,56.6
986921,human,high,unfair,25,0.8,-6.48,5.32,21.96,41.88,33.88,36.36
986921,human,low,fair,5,0.2,6.2,2.0,9.2,74.2,7.8,75.6
986921,human,low,unfair,25,0.64,-8.88,2.12,26.96,44.32,30.64,46.88
987338,human,high,fair,5,0.0,17.2,12.0,37.0,-29.4,39.0,-38.6
987338,human,high,unfair,25,0.12,-13.64,8.08,17.16,41.04,16.48,27.72
987338,human,low,fair,5,0.0,14.0,13.0,44.8,65.8,46.4,59.4
987338,human,low,unfair,25,0.68,-17.32,11.96,21.44,13.2,20.56,3.16
991957,human,high,fair,5,0.0,-0.2,-0.4,41.4,13.6,46.0,10.8
991957,human,high,unfair,25,0.0,-2.96,-3.0,13.04,8.48,17.52,4.44
991957,human,low,fair,5,0.2,0.0,-0.2,36.4,-36.4,46.2,-39.2
991957,human,low,unfair,25,0.2,-3.48,-2.8,21.6,33.92,27.16,32.36
997762,human,high,fair,5,0.0,18.4,16.2,16.4,25.4,6.0,10.0
997762,human,high,unfair,25,0.24,-17.32,12.08,6.12,42.28,-2.8,34.12
997762,human,low,fair,5,0.0,16.8,13.8,3.2,-6.8,1.0,-10.0
997762,human,low,unfair,25,0.68,-16.0,11.6,6.92,16.84,0.96,7.4
998601,human,high,fair,5,0.0,5.6,5.0,24.2,47.4,32.2,42.6
998601,human,high,unfair,25,0.08,0.08,4.88,19.8,28.84,24.68,24.48
998601,human,low,fair,5,0.2,9.4,9.4,24.4,16.0,33.6,14.0
998601,human,low,unfair,25,0.64,2.32,6.88,14.12,13.4,19.92,11.28
998979,human,high,fair,5,0.2,0.2,1.2,28.2,45.2,37.2,33.8
998979,human,high,unfair,25,0.16,-2.92,0.84,19.88,33.32,32.6,21.04
998979,human,low,fair,5,0.8,1.2,-1.0,20.6,51.6,34.0,42.0
998979,human,low,unfair,25,0.48,-2.68,0.4,29.12,37.24,36.64,28.68
998980,human,high,fair,5,0.0,26.8,4.2,-10.0,58.2,-12.0,59.8
998980,human,high,unfair,25,0.0,-3.84,1.28,4.96,10.28,8.36,13.04
998980,human,low,fair,5,0.0,17.0,5.2,-1.6,-14.6,0.8,-13.0
998980,human,low,unfair,25,0.72,-11.48,11.6,18.12,16.8,21.12,19.32
998981,human,high,fair,5,0.0,5.0,4.8,7.2,65.8,20.4,50.4
998981,human,high,unfair,25,0.0,4.68,4.08,15.04,20.68,26.04,8.44
998981,human,low,fair,5,0.0,6.2,5.0,19.8,-6.2,32.0,-17.8
998981,human,low,unfair,25,0.32,6.2,4.04,27.84,29.64,38.04,17.6
998982,human,high,fair,5,0.0,3.6,3.0,27.0,4.2,24.8,-0.4
998982,human,high,unfair,25,0.0,-1.8,0.48,22.24,34.56,21.48,29.6
998982,human,low,fair,5,0.0,4.2,3.4,39.2,-23.6,33.6,-31.2
998982,human,low,unfair,25,0.0,0.64,0.88,4.44,45.8,1.36,38.56
998983,human,high,fair,5,0.0,26.8,2.6,16.2,35.8,22.0,36.4
998983,human,high,unfair,25,0.08,6.48,2.88,15.4,19.64,16.68,19.32
998983,human,low,fair,5,0.0,28.8,1.2,10.0,20.6,14.0,19.8
998983,human,low,unfair,25,0.28,1.52,1.88,32.64,10.76,34.72,9.84
998984,human,high,fair,5,0.0,13.0,7.0,12.0,19.8,28.0,6.2
998984,human,high,unfair,25,0.52,-11.52,0.96,35.76,30.32,40.64,20.4
998984,human,low,fair,5,0.0,13.2,4.6,-8.2,27.8,-4.4,27.8
998984,human,low,unfair,25,0.68,-9.52,-1.6,6.2,26.6,3.92,24.48
998985,human,high,fair,5,0.0,25.0,-0.8,0.2,23.4,-6.0,19.4
998985,human,high,unfair,25,0.04,3.16,-2.0,20.44,28.68,14.24,24.44
998985,human,low,fair,5,0.0,16.8,-1.4,2.8,6.6,-1.8,2.2
998985,human,low,unfair,25,0.52,-2.28,-1.2,14.6,19.8,9.84,15.64
998986,human,high,fair,5,0.4,1.8,2.6,14.0,14.4,12.6,12.4
998986,human,high,unfair,25,0.48,-2.12,6.0,15.44,29.84,16.8,29.16
998986,human,low,fair,5,0.8,7.2,1.0,-10.6,30.0,-13.6,28.0
998986,human,low,unfair,25,0.52,2.88,6.88,19.04,20.72,18.16,19.56
998987,human,high,fair,5,0.0,0.0,0.0,42.2,41.4,34.0,38.8
998987,human,high,unfair,25,0.0,0.0,0.04,18.96,23.64,8.76,20.76
998987,human,low,fair,5,0.0,-0.2,-0.2,27.4,68.4,14.2,67.4
998987,human,low,unfair,25,0.2,-0.04,0.2,23.8,12.16,19.16,10.24
998988,human,high,fair,5,0.0,16.0,0.4,42.4,28.0,49.2,25.2
998988,human,high,unfair,25,0.0,2.2,-0.04,30.88,3.64,36.4,4.88
998988,human,low,fair,5,0.0,16.2,0.0,9.4,21.8,20.0,19.2
998988,human,low,unfair,25,0.0,2.28,0.04,9.08,37.2,15.88,35.36
998989,human,high,fair,5,0.0,6.2,0.6,8.6,49.8,3.2,51.4
998989,human,high,unfair,25,0.0,3.2,0.44,23.84,23.72,16.76,25.56
998989,human,low,fair,5,0.2,4.8,2.0,1.6,49.6,-3.0,51.0
998989,human,low,unfair,25,0.16,5.56,0.36,15.92,17.44,15.76,18.64
998990,human,high,fair,5,0.0,15.4,3.6,6.0,-1.2,7.4,-6.0
